582682275,246503
smith,2376206
johnson,1857160
williams,1534042
brown,1380145
jones,1362755
miller,1127803
davis,1072335
garcia,858289
rodriguez,804240
wilson,783051
martinez,775072
anderson,762394
taylor,720370
thomas,710696
hernandez,706372
moore,698671
martin,672711
jackson,666125
thompson,644368
white,639515
lopez,621536
lee,605860
gonzalez,597718
harris,593542
clark,548369
lewis,509930
robinson,503028
walker,501307
perez,488521
hall,473568
young,465948
allen,463368
sanchez,441242
wright,440367
king,438986
scott,420091
green,413477
baker,413351
adams,413086
nelson,412236
hill,411770
ramirez,388987
campbell,371953
mitchell,367433
roberts,366215
carter,362548
phillips,351848
evans,342237
turner,335663
torres,325169
parker,324246
collins,317848
edwards,317070
stewart,312899
flores,312615
morris,311754
nguyen,310125
murphy,300501
rivera,299463
cook,294795
rogers,294403
morgan,276400
peterson,275041
cooper,270097
reed,267443
bailey,265916
bell,264752
gomez,263590
kelly,260385
howard,254779
ward,254121
cox,253771
diaz,251772
richardson,249533
wood,247299
watson,242432
brooks,240751
bennett,239055
gray,236713
james,233224
reyes,232511
cruz,231065
hughes,229390
price,228756
myers,224824
long,223494
foster,221040
sanders,220902
ross,219961
morales,217642
powell,216553
sullivan,215640
russell,215432
ortiz,214683
jenkins,213737
gutierrez,212905
perry,212644
butler,210879
barnes,210426
fisher,210279
henderson,210094
coleman,208624
simmons,201650
patterson,198557
jordan,197212
reynolds,195598
hamilton,194331
graham,194074
kim,194067
gonzales,193934
alexander,193443
ramos,193096
wallace,190760
griffin,190636
west,188464
cole,187793
hayes,187473
chavez,185865
gibson,184420
bryant,183761
ellis,181934
stevens,181417
murray,178414
ford,178397
marshall,177213
owens,176334
mcdonald,176094
harrison,175577
ruiz,175429
kennedy,171636
wells,170635
alvarez,168817
woods,168814
mendoza,168567
castillo,165473
olson,163502
webb,163481
washington,163036
tucker,162933
freeman,162686
burns,162153
henry,161392
vasquez,159989
snyder,159363
simpson,158241
crawford,158121
jimenez,157475
porter,156848
mason,155484
shaw,155172
gordon,154934
wagner,154516
hunter,154410
romero,153772
hicks,153618
dixon,152015
hunt,151986
palmer,150407
robertson,150299
black,150186
holmes,150166
stone,149802
meyer,149664
boyd,149476
mills,147909
warren,147906
fox,147357
rose,146924
rice,146440
moreno,146088
schmidt,145565
patel,145066
ferguson,142256
nichols,141936
herrera,140786
medina,139353
ryan,139335
fernandez,139302
weaver,138811
daniels,138776
stephens,138742
gardner,138660
payne,138028
kelley,137555
dunn,136955
pierce,136517
arnold,136315
tran,136095
spencer,134443
peters,134231
hawkins,134066
grant,134034
hansen,133474
castro,133254
hoffman,132645
hart,132466
elliott,132457
cunningham,131896
knight,131860
bradley,131289
carroll,131020
hudson,130793
duncan,130419
armstrong,129982
berry,129405
andrews,129320
johnston,128935
ray,128794
lane,128727
riley,127960
carpenter,127073
perkins,126951
aguilar,126399
silva,126164
richards,125653
willis,125627
matthews,124839
chapman,124614
lawrence,124321
garza,124130
vargas,123952
watkins,122447
wheeler,121684
larson,121064
carlson,120124
harper,119868
george,119778
greene,119604
burke,119175
guzman,118390
morrison,117939
munoz,117774
jacobs,115540
obrien,115385
lawson,115186
franklin,114859
lynch,114448
bishop,114034
carr,113892
salazar,113468
austin,113160
mendez,112736
gilbert,112406
jensen,112332
williamson,112216
montgomery,112144
harvey,112136
oliver,111641
howell,109634
dean,109230
hanson,109079
weber,107866
garrett,107777
sims,107244
burton,107158
fuller,106682
soto,106631
mccoy,106481
welch,105804
chen,105544
schultz,104962
walters,104281
reid,104007
fields,103242
walsh,103216
little,102718
fowler,102620
bowman,102239
davidson,102044
may,101726
day,101676
schneider,100553
newman,100491
brewer,100465
lucas,100417
holland,99885
wong,99392
banks,99294
santos,98993
curtis,98958
pearson,98728
delgado,98675
valdez,98610
pena,98345
rios,96569
douglas,96425
sandoval,96303
barrett,95896
hopkins,94603
keller,94300
guerrero,94152
stanley,93817
bates,93743
alvarado,93723
beck,93161
ortega,93131
wade,92834
estrada,92831
contreras,92660
barnett,92287
caldwell,91338
santiago,90967
lambert,90618
powers,90401
chambers,90325
nunez,90208
craig,89591
leonard,89198
lowe,89178
rhodes,88917
byrd,88811
gregory,88810
shelton,88326
frazier,88325
becker,88114
maldonado,88016
fleming,87949
vega,87728
sutton,87373
cohen,87226
jennings,87038
parks,86346
mcdaniel,86317
watts,86228
barker,85221
norris,85212
vaughn,85037
vazquez,84926
holt,84710
schwartz,84699
steele,84353
benson,84233
neal,83849
dominguez,83731
horton,83523
terry,83437
wolfe,83112
hale,82955
lyons,82258
graves,82179
haynes,82037
miles,81933
park,81890
warner,81824
padilla,81805
bush,81524
thornton,81191
mccarthy,81035
mann,81022
zimmerman,80944
erickson,80936
fletcher,80932
mckinney,80616
page,80493
dawson,80190
joseph,80030
marquez,79951
reeves,79817
klein,79685
espinoza,79322
baldwin,79151
moran,78546
love,78323
robbins,78141
higgins,78107
ball,77561
cortez,77492
le,77453
griffith,77429
bowen,77078
sharp,76868
cummings,76707
ramsey,76625
hardy,76608
swanson,76539
barber,76504
acosta,76477
luna,76127
chandler,76114
blair,75135
daniel,75135
cross,75134
simon,74839
dennis,74784
oconnor,74756
quinn,74531
gross,74285
navarro,73970
moss,73750
fitzgerald,73522
doyle,73518
mclaughlin,73128
rojas,73071
rodgers,73021
stevenson,72892
singh,72642
yang,72627
figueroa,72533
harmon,72414
newton,72328
paul,72248
manning,72069
garner,72052
mcgee,71925
reese,71754
francis,71723
burgess,71604
adkins,71528
goodman,71482
curry,71344
brady,71175
christensen,71144
potter,71103
walton,70997
goodwin,70333
mullins,70286
molina,70211
webster,70123
fischer,70095
campos,69950
avila,69843
sherman,69840
todd,69810
chang,69756
blake,69279
malone,69257
wolf,68905
hodges,68868
juarez,68785
gill,68699
farmer,68309
hines,68145
gallagher,68075
duran,68046
hubbard,68021
cannon,67923
miranda,67646
wang,67570
saunders,67210
tate,67208
mack,67154
hammond,67063
carrillo,67054
townsend,66853
wise,66738
ingram,66665
barton,66622
mejia,66534
ayala,66515
schroeder,66412
hampton,66378
rowe,66205
parsons,66203
frank,65918
waters,65817
strickland,65814
osborne,65802
maxwell,65779
chan,65719
deleon,65598
norman,65269
harrington,65131
casey,64815
patton,64772
logan,64576
bowers,64496
mueller,64305
glover,64180
floyd,64141
hartman,63827
buchanan,63825
cobb,63739
french,63149
kramer,63023
mccormick,62663
clarke,62546
tyler,62534
gibbs,62514
moody,62344
conner,62335
sparks,62234
mcguire,62116
leon,62034
bauer,61979
norton,61805
pope,61750
flynn,61747
hogan,61651
robles,61619
salinas,61582
yates,61400
lindsey,61199
lloyd,61154
marsh,60999
mcbride,60874
owen,60461
solis,60045
pham,59949
lang,59843
pratt,59801
lara,59731
brock,59682
ballard,59660
trujillo,59609
shaffer,59227
drake,59055
roman,59020
aguirre,58918
morton,58788
stokes,58687
lamb,58555
pacheco,58534
patrick,58257
cochran,58233
shepherd,57935
cain,57873
burnett,57859
hess,57822
li,57786
cervantes,57685
olsen,57357
briggs,57297
ochoa,57210
cabrera,57171
velasquez,57163
montoya,57075
roth,57030
meyers,56744
cardenas,56618
fuentes,56441
weiss,56153
hoover,56068
wilkins,56068
nicholson,55986
underwood,55973
short,55903
carson,55821
morrow,55664
colon,55512
holloway,55466
summers,55391
bryan,55269
petersen,55185
mckenzie,55084
serrano,55057
wilcox,54987
carey,54924
clayton,54875
poole,54706
calderon,54691
gallegos,54672
greer,54611
rivas,54588
guerra,54575
decker,54450
collier,54414
wall,54401
whitaker,54343
bass,54296
flowers,54277
davenport,54206
conley,54194
houston,54026
huff,53892
copeland,53771
hood,53737
monroe,53475
massey,53459
roberson,53198
combs,53180
franco,53161
larsen,52963
pittman,52689
randall,52495
skinner,52490
wilkinson,52483
kirby,52473
cameron,52439
bridges,52260
anthony,52146
richard,52138
kirk,52056
bruce,52004
singleton,51797
mathis,51796
bradford,51726
boone,51679
abbott,51620
charles,51518
allison,51504
sweeney,51500
atkinson,51489
horn,51380
jefferson,51361
rosales,51336
york,51334
christian,51177
phelps,51154
farrell,51095
castaneda,51089
nash,51021
dickerson,51017
bond,50980
wyatt,50874
foley,50852
chase,50777
gates,50748
vincent,50628
mathews,50608
hodge,50577
garrison,50482
trevino,50454
villarreal,50351
heath,50307
dalton,50166
valencia,50026
callahan,49925
hensley,49858
atkins,49754
huffman,49737
roy,49725
boyer,49601
shields,49556
lin,49360
hancock,49330
grimes,49245
glenn,49241
cline,49167
delacruz,49158
camacho,49000
dillon,48833
parrish,48823
oneill,48656
melton,48594
booth,48580
kane,48527
berg,48480
harrell,48471
pitts,48462
savage,48367
wiggins,48355
brennan,48296
salas,48282
marks,48281
russo,48126
sawyer,47979
baxter,47857
golden,47839
hutchinson,47809
liu,47665
walter,47615
mcdowell,47526
wiley,47503
rich,47477
humphrey,47470
johns,47289
koch,47286
suarez,47235
hobbs,47220
beard,47128
gilmore,47050
ibarra,46895
keith,46747
macias,46739
khan,46713
andrade,46702
ware,46682
stephenson,46662
henson,46609
wilkerson,46605
dyer,46574
mcclure,46505
blackwell,46495
mercado,46437
tanner,46412
eaton,46403
clay,46264
barron,46196
beasley,46179
oneal,46161
preston,45850
small,45850
wu,45815
zamora,45806
macdonald,45782
vance,45763
snow,45689
mcclain,45560
stafford,45349
orozco,45289
barry,45044
english,45032
shannon,44902
kline,44900
jacobson,44874
woodard,44830
huang,44715
kemp,44701
mosley,44698
prince,44640
merritt,44626
hurst,44587
villanueva,44570
roach,44454
nolan,44421
lam,44385
yoder,44245
mccullough,44123
lester,43919
santana,43875
valenzuela,43770
winters,43762
barrera,43720
leach,43666
orr,43666
berger,43556
mckee,43555
strong,43430
conway,43395
stein,43331
whitehead,43310
bullock,43021
escobar,42955
knox,42937
meadows,42884
solomon,42839
velez,42820
odonnell,42802
kerr,42758
stout,42669
blankenship,42663
browning,42642
kent,42597
lozano,42567
bartlett,42512
pruitt,42463
buck,42441
barr,42432
gaines,42369
durham,42365
gentry,42357
mcintyre,42335
sloan,42281
melendez,42139
rocha,42139
herman,42091
sexton,42080
moon,42062
hendricks,41879
rangel,41868
stark,41863
lowery,41670
hardin,41664
hull,41656
sellers,41561
ellison,41459
calhoun,41452
gillespie,41393
mora,41348
knapp,41267
mccall,41231
morse,41112
dorsey,41104
weeks,41053
nielsen,41007
livingston,40964
leblanc,40923
mclean,40871
bradshaw,40794
glass,40724
middleton,40708
buckley,40706
schaefer,40663
frost,40582
howe,40555
house,40477
mcintosh,40453
ho,40413
pennington,40339
reilly,40310
hebert,40283
mcfarland,40244
hickman,40224
noble,40217
spears,40203
conrad,40102
arias,40086
galvan,40046
velazquez,40030
huynh,40011
frederick,39909
randolph,39742
cantu,39601
fitzpatrick,39501
mahoney,39440
peck,39432
villa,39402
michael,39369
donovan,39270
mcconnell,39203
walls,39166
boyle,39141
mayer,39111
zuniga,39057
giles,39002
pineda,38999
pace,38975
hurley,38971
mays,38914
mcmillan,38896
crosby,38844
ayers,38836
case,38759
bentley,38714
shepard,38705
everett,38702
pugh,38691
david,38659
mcmahon,38557
dunlap,38516
bender,38464
hahn,38354
harding,38340
acevedo,38232
raymond,38158
blackburn,38137
duffy,37962
landry,37961
dougherty,37903
bautista,37847
shah,37833
potts,37687
arroyo,37678
valentine,37669
meza,37662
gould,37660
vaughan,37591
fry,37542
rush,37470
avery,37440
herring,37353
dodson,37298
clements,37237
sampson,37234
tapia,37201
bean,37145
lynn,37125
crane,37123
farley,37116
cisneros,37050
benton,37032
ashley,37021
mckay,36948
finley,36874
best,36862
blevins,36841
friedman,36833
moses,36814
sosa,36813
blanchard,36764
huber,36729
frye,36716
krueger,36694
bernard,36546
rosario,36539
rubio,36531
mullen,36442
benjamin,36439
haley,36433
chung,36422
moyer,36421
choi,36390
horne,36288
yu,36285
woodward,36242
ali,36079
nixon,36037
hayden,36024
rivers,35980
estes,35839
mccarty,35718
richmond,35715
stuart,35701
maynard,35648
brandt,35616
oconnell,35610
hanna,35599
sanford,35565
sheppard,35554
church,35539
burch,35521
levy,35464
rasmussen,35453
coffey,35442
ponce,35400
faulkner,35389
donaldson,35387
schmitt,35326
novak,35282
costa,35227
montes,35196
booker,35101
cordova,35074
waller,35001
arellano,34999
maddox,34970
mata,34888
bonilla,34824
stanton,34812
compton,34788
kaufman,34786
dudley,34770
mcpherson,34763
beltran,34736
dickson,34698
mccann,34692
villegas,34684
proctor,34682
hester,34675
cantrell,34674
daugherty,34650
cherry,34615
bray,34575
davila,34541
rowland,34498
levine,34472
madden,34472
spence,34435
good,34430
irwin,34374
werner,34352
krause,34345
petty,34278
whitney,34251
baird,34233
hooper,34084
pollard,34079
zavala,34068
jarvis,34050
holden,34041
haas,34032
hendrix,34032
mcgrath,34031
bird,33962
lucero,33922
terrell,33914
riggs,33868
joyce,33843
mercer,33797
rollins,33797
galloway,33773
duke,33745
odom,33717
andersen,33508
downs,33494
hatfield,33464
benitez,33441
archer,33411
huerta,33348
travis,33339
mcneil,33239
hinton,33209
zhang,33202
hays,33194
mayo,33126
fritz,33068
branch,33040
mooney,32953
ewing,32925
ritter,32864
esparza,32772
frey,32735
braun,32676
gay,32672
riddle,32654
haney,32644
kaiser,32567
holder,32466
chaney,32433
mcknight,32386
gamble,32377
vang,32333
cooley,32287
carney,32282
cowan,32242
forbes,32228
ferrell,32174
davies,32165
barajas,32147
shea,32069
osborn,32044
bright,32042
cuevas,32015
bolton,31995
murillo,31964
lutz,31940
duarte,31896
kidd,31886
key,31882
cooke,31860
goff,31806
dejesus,31803
marin,31786
dotson,31784
bonner,31761
cotton,31759
merrill,31758
lindsay,31744
lancaster,31686
mcgowan,31669
felix,31631
salgado,31627
slater,31569
carver,31566
guthrie,31530
holman,31514
fulton,31513
snider,31418
sears,31387
witt,31360
newell,31317
byers,31299
lehman,31296
gorman,31285
costello,31266
donahue,31251
delaney,31236
albert,31159
workman,31151
rosas,31050
springer,31044
justice,30956
kinney,30956
odell,30951
lake,30924
donnelly,30919
law,30900
dailey,30894
guevara,30844
shoemaker,30756
barlow,30749
marino,30735
winter,30721
craft,30653
katz,30615
pickett,30552
espinosa,30538
daly,30434
maloney,30434
goldstein,30429
crowley,30416
vogel,30388
kuhn,30342
pearce,30276
hartley,30236
cleveland,30233
palacios,30231
mcfadden,30205
britt,30200
wooten,30185
cortes,30141
dillard,30118
childers,30079
alford,30050
dodd,30029
emerson,30028
wilder,30023
lange,29977
goldberg,29968
quintero,29952
beach,29940
enriquez,29886
quintana,29755
helms,29727
mackey,29718
finch,29703
cramer,29666
minor,29634
flanagan,29563
franks,29531
corona,29525
kendall,29524
mccabe,29523
hendrickson,29496
moser,29485
mcdermott,29440
camp,29432
mcleod,29423
bernal,29418
kaplan,29410
medrano,29386
lugo,29328
tracy,29316
bacon,29312
crowe,29260
richter,29233
welsh,29217
holley,29215
ratliff,29142
mayfield,29136
talley,29082
haines,29065
dale,28994
gibbons,28993
hickey,28970
byrne,28963
kirkland,28937
farris,28928
correa,28910
tillman,28878
sweet,28872
kessler,28869
england,28861
hewitt,28857
blanco,28843
connolly,28821
pate,28804
elder,28783
bruno,28729
holcomb,28668
hyde,28604
mcallister,28586
cash,28572
christopher,28493
whitfield,28475
meeks,28426
hatcher,28424
fink,28417
sutherland,28417
noel,28401
ritchie,28397
rosa,28375
leal,28248
joyner,28216
starr,28210
morin,28184
delarosa,28134
connor,28107
hilton,28098
alston,28089
gilliam,28075
wynn,28048
wills,28036
jaramillo,28024
oneil,28020
nieves,28011
britton,28001
rankin,27989
belcher,27947
guy,27934
chamberlain,27928
tyson,27911
puckett,27891
downing,27879
sharpe,27862
boggs,27822
truong,27808
pierson,27730
godfrey,27700
mobley,27648
john,27643
kern,27634
dye,27627
hollis,27597
bravo,27576
magana,27571
rutherford,27539
ng,27537
tuttle,27460
lim,27433
romano,27401
arthur,27383
trejo,27383
knowles,27380
lyon,27337
shirley,27300
quinones,27290
childs,27266
dolan,27252
head,27218
reyna,27215
saenz,27211
hastings,27201
kenney,27189
cano,27179
foreman,27130
denton,27112
villalobos,27107
pryor,27065
sargent,27024
doherty,26978
hopper,26956
phan,26903
womack,26890
lockhart,26844
ventura,26769
dwyer,26759
muller,26744
galindo,26730
grace,26727
sorensen,26705
courtney,26668
parra,26654
rodrigues,26652
nicholas,26628
ahmed,26607
mcginnis,26578
langley,26560
madison,26548
locke,26516
jamison,26476
nava,26463
gustafson,26433
sykes,26425
dempsey,26403
hamm,26392
rodriquez,26377
mcgill,26354
xiong,26336
esquivel,26301
simms,26296
kendrick,26266
boyce,26229
vigil,26224
downey,26206
mckenna,26189
sierra,26181
webber,26178
kirkpatrick,26155
dickinson,26144
couch,26135
burks,26115
sheehan,26107
slaughter,26088
pike,26086
whitley,26078
magee,26031
cheng,26023
sinclair,26014
cassidy,26011
rutledge,26010
burris,25998
bowling,25938
crabtree,25929
mcnamara,25896
avalos,25875
vu,25828
herron,25776
broussard,25735
abraham,25729
garland,25725
corbett,25722
corbin,25696
stinson,25694
chin,25673
burt,25649
hutchins,25633
woodruff,25626
lau,25624
brandon,25600
singer,25599
hatch,25564
rossi,25512
shafer,25498
ott,25492
goss,25464
gregg,25457
dewitt,25448
tang,25446
polk,25438
worley,25407
covington,25403
saldana,25386
heller,25371
emery,25338
swartz,25307
cho,25305
mccray,25300
elmore,25280
rosenberg,25271
simons,25266
clemons,25265
beatty,25245
harden,25241
herbert,25224
bland,25219
rucker,25160
manley,25159
